id,path,category,width,height,states,nine_slice,accent,usage,source_docs
control.lock.pressed,assets/controls/individual/lock.pressed.png,window-control,18,16,pressed,,red,lock control state,01-visual-style.md;06-screen-concepts.md
control.lock.disabled,assets/controls/individual/lock.disabled.png,window-control,18,16,disabled,,red,lock control state,01-visual-style.md;06-screen-concepts.md
control.lock.sheet,assets/controls/sheets/lock.sheet.png,window-control-sheet,72,16,normal|hover|pressed|disabled,,red,lock control sprite sheet,01-visual-style.md;06-screen-concepts.md
control.unlock.normal,assets/controls/individual/unlock.normal.png,window-control,18,16,normal,,green,unlock control state,01-visual-style.md;06-screen-concepts.md
control.unlock.hover,assets/controls/individual/unlock.hover.png,window-control,18,16,hover,,green,unlock control state,01-visual-style.md;06-screen-concepts.md
control.unlock.pressed,assets/controls/individual/unlock.pressed.png,window-control,18,16,pressed,,green,unlock control state,01-visual-style.md;06-screen-concepts.md
control.unlock.disabled,assets/controls/individual/unlock.disabled.png,window-control,18,16,disabled,,green,unlock control state,01-visual-style.md;06-screen-concepts.md
control.unlock.sheet,assets/controls/sheets/unlock.sheet.png,window-control-sheet,72,16,normal|hover|pressed|disabled,,green,unlock control sprite sheet,01-visual-style.md;06-screen-concepts.md
control.settings.normal,assets/controls/individual/settings.normal.png,window-control,18,16,normal,,neutral,settings control state,01-visual-style.md;06-screen-concepts.md
control.settings.hover,assets/controls/individual/settings.hover.png,window-control,18,16,hover,,neutral,settings control state,01-visual-style.md;06-screen-concepts.md
control.settings.pressed,assets/controls/individual/settings.pressed.png,window-control,18,16,pressed,,neutral,settings control state,01-visual-style.md;06-screen-concepts.md
control.settings.disabled,assets/controls/individual/settings.disabled.png,window-control,18,16,disabled,,neutral,settings control state,01-visual-style.md;06-screen-concepts.md
control.settings.sheet,assets/controls/sheets/settings.sheet.png,window-control-sheet,72,16,normal|hover|pressed|disabled,,neutral,settings control sprite sheet,01-visual-style.md;06-screen-concepts.md
control.drag.normal,assets/controls/individual/drag.normal.png,window-control,18,16,normal,,neutral,drag control state,01-visual-style.md;06-screen-concepts.md
control.drag.hover,assets/controls/individual/drag.hover.png,window-control,18,16,hover,,neutral,drag control state,01-visual-style.md;06-screen-concepts.md
control.drag.pressed,assets/controls/individual/drag.pressed.png,window-control,18,16,pressed,,neutral,drag control state,01-visual-style.md;06-screen-concepts.md
control.drag.disabled,assets/controls/individual/drag.disabled.png,window-control,18,16,disabled,,neutral,drag control state,01-visual-style.md;06-screen-concepts.md
control.drag.sheet,assets/controls/sheets/drag.sheet.png,window-control-sheet,72,16,normal|hover|pressed|disabled,,neutral,drag control sprite sheet,01-visual-style.md;06-screen-concepts.md
control.resize.normal,assets/controls/individual/resize.normal.png,window-control,18,16,normal,,neutral,resize control state,01-visual-style.md;06-screen-concepts.md
control.resize.hover,assets/controls/individual/resize.hover.png,window-control,18,16,hover,,neutral,resize control state,01-visual-style.md;06-screen-concepts.md
control.resize.pressed,assets/controls/individual/resize.pressed.png,window-control,18,16,pressed,,neutral,resize control state,01-visual-style.md;06-screen-concepts.md
control.resize.disabled,assets/controls/individual/resize.disabled.png,window-control,18,16,disabled,,neutral,resize control state,01-visual-style.md;06-screen-concepts.md
control.resize.sheet,assets/controls/sheets/resize.sheet.png,window-control-sheet,72,16,normal|hover|pressed|disabled,,neutral,resize control sprite sheet,01-visual-style.md;06-screen-concepts.md
