id,path,category,width,height,states,nine_slice,accent,usage,source_docs
window.terminal.active,assets/windows/shells/window.terminal.active.320x220.png,window-shell,320,220,active,"8,30,8,8",terminal,terminal window shell with transparent content slot,01-visual-style.md;06-screen-concepts.md;KorpOsShell.css
window.terminal.inactive,assets/windows/shells/window.terminal.inactive.320x220.png,window-shell,320,220,inactive,"8,30,8,8",terminal,terminal window shell with transparent content slot,01-visual-style.md;06-screen-concepts.md;KorpOsShell.css
window.terminal.nine-slice,assets/windows/nine_slice/window.terminal.nine-slice.png,window-nine-slice,64,64,,"8,30,8,8",terminal,Resizable terminal window frame,01-visual-style.md;06-screen-concepts.md
window.system.active,assets/windows/shells/window.system.active.320x220.png,window-shell,320,220,active,"8,30,8,8",system,system window shell with transparent content slot,01-visual-style.md;06-screen-concepts.md;KorpOsShell.css
window.system.inactive,assets/windows/shells/window.system.inactive.320x220.png,window-shell,320,220,inactive,"8,30,8,8",system,system window shell with transparent content slot,01-visual-style.md;06-screen-concepts.md;KorpOsShell.css
window.system.nine-slice,assets/windows/nine_slice/window.system.nine-slice.png,window-nine-slice,64,64,,"8,30,8,8",system,Resizable system window frame,01-visual-style.md;06-screen-concepts.md
window.prestige.active,assets/windows/shells/window.prestige.active.320x220.png,window-shell,320,220,active,"8,30,8,8",prestige,prestige window shell with transparent content slot,01-visual-style.md;06-screen-concepts.md;KorpOsShell.css
window.prestige.inactive,assets/windows/shells/window.prestige.inactive.320x220.png,window-shell,320,220,inactive,"8,30,8,8",prestige,prestige window shell with transparent content slot,01-visual-style.md;06-screen-concepts.md;KorpOsShell.css
window.prestige.nine-slice,assets/windows/nine_slice/window.prestige.nine-slice.png,window-nine-slice,64,64,,"8,30,8,8",prestige,Resizable prestige window frame,01-visual-style.md;06-screen-concepts.md
window.header.module.active,assets/windows/headers/header.module.active.png,window-header,256,27,active,"8,8,8,8",module,module titlebar background,KorpOsShell.css
window.header.module.inactive,assets/windows/headers/header.module.inactive.png,window-header,256,27,inactive,"8,8,8,8",module,module titlebar background,KorpOsShell.css
window.header.audit.active,assets/windows/headers/header.audit.active.png,window-header,256,27,active,"8,8,8,8",audit,audit titlebar background,KorpOsShell.css
window.header.audit.inactive,assets/windows/headers/header.audit.inactive.png,window-header,256,27,inactive,"8,8,8,8",audit,audit titlebar background,KorpOsShell.css
window.header.document.active,assets/windows/headers/header.document.active.png,window-header,256,27,active,"8,8,8,8",document,document titlebar background,KorpOsShell.css
window.header.document.inactive,assets/windows/headers/header.document.inactive.png,window-header,256,27,inactive,"8,8,8,8",document,document titlebar background,KorpOsShell.css
window.header.folder.active,assets/windows/headers/header.folder.active.png,window-header,256,27,active,"8,8,8,8",folder,folder titlebar background,KorpOsShell.css
window.header.folder.inactive,assets/windows/headers/header.folder.inactive.png,window-header,256,27,inactive,"8,8,8,8",folder,folder titlebar background,KorpOsShell.css
window.header.memo.active,assets/windows/headers/header.memo.active.png,window-header,256,27,active,"8,8,8,8",memo,memo titlebar background,KorpOsShell.css
window.header.memo.inactive,assets/windows/headers/header.memo.inactive.png,window-header,256,27,inactive,"8,8,8,8",memo,memo titlebar background,KorpOsShell.css
window.header.terminal.active,assets/windows/headers/header.terminal.active.png,window-header,256,27,active,"8,8,8,8",terminal,terminal titlebar background,KorpOsShell.css
window.header.terminal.inactive,assets/windows/headers/header.terminal.inactive.png,window-header,256,27,inactive,"8,8,8,8",terminal,terminal titlebar background,KorpOsShell.css
window.header.system.active,assets/windows/headers/header.system.active.png,window-header,256,27,active,"8,8,8,8",system,system titlebar background,KorpOsShell.css
window.header.system.inactive,assets/windows/headers/header.system.inactive.png,window-header,256,27,inactive,"8,8,8,8",system,system titlebar background,KorpOsShell.css
window.header.prestige.active,assets/windows/headers/header.prestige.active.png,window-header,256,27,active,"8,8,8,8",prestige,prestige titlebar background,KorpOsShell.css
window.header.prestige.inactive,assets/windows/headers/header.prestige.inactive.png,window-header,256,27,inactive,"8,8,8,8",prestige,prestige titlebar background,KorpOsShell.css
misc.scrollbar.vertical.sheet,assets/misc/scrollbar.vertical.sheet.png,window-misc,56,80,normal|hover|pressed|disabled,,,Vertical scrollbar states,06-screen-concepts.md
form.checkbox.empty,assets/forms/checkbox.empty.png,form-control,18,18,empty,,green,checkbox empty state,AuditFormDocument.css
form.checkbox.hover,assets/forms/checkbox.hover.png,form-control,18,18,hover,,green,checkbox hover state,AuditFormDocument.css
form.checkbox.checked,assets/forms/checkbox.checked.png,form-control,18,18,checked,,green,checkbox checked state,AuditFormDocument.css
form.checkbox.disabled,assets/forms/checkbox.disabled.png,form-control,18,18,disabled,,green,checkbox disabled state,AuditFormDocument.css
form.checkbox.sheet,assets/forms/checkbox.sheet.png,form-control-sheet,72,18,empty|hover|checked|disabled,,green,checkbox state sheet,AuditFormDocument.css
form.radio.empty,assets/forms/radio.empty.png,form-control,18,18,empty,,green,radio empty state,AuditFormDocument.css
form.radio.hover,assets/forms/radio.hover.png,form-control,18,18,hover,,green,radio hover state,AuditFormDocument.css
form.radio.checked,assets/forms/radio.checked.png,form-control,18,18,checked,,green,radio checked state,AuditFormDocument.css
form.radio.disabled,assets/forms/radio.disabled.png,form-control,18,18,disabled,,green,radio disabled state,AuditFormDocument.css
form.radio.sheet,assets/forms/radio.sheet.png,form-control-sheet,72,18,empty|hover|checked|disabled,,green,radio state sheet,AuditFormDocument.css
form.toggle.off,assets/forms/toggle.off.png,form-control,34,18,off,,green,Accessibility/settings toggle,14-sensory-feedback.md
form.toggle.off-hover,assets/forms/toggle.off-hover.png,form-control,34,18,off-hover,,green,Accessibility/settings toggle,14-sensory-feedback.md
form.toggle.on,assets/forms/toggle.on.png,form-control,34,18,on,,green,Accessibility/settings toggle,14-sensory-feedback.md
form.toggle.on-hover,assets/forms/toggle.on-hover.png,form-control,34,18,on-hover,,green,Accessibility/settings toggle,14-sensory-feedback.md
form.button.primary.normal,assets/forms/button.primary.normal.png,form-button,148,28,normal,,green,primary action button example with raster label,AuditFormDocument.css;14-sensory-feedback.md
form.button.primary.blank.normal,assets/forms/button.primary.blank.normal.png,form-button-background,148,28,normal,,green,primary button background for runtime HTML/CSS text,AuditFormDocument.css;11-typography-and-brand.md
form.button.primary.hover,assets/forms/button.primary.hover.png,form-button,148,28,hover,,green,primary action button example with raster label,AuditFormDocument.css;14-sensory-feedback.md
form.button.primary.blank.hover,assets/forms/button.primary.blank.hover.png,form-button-background,148,28,hover,,green,primary button background for runtime HTML/CSS text,AuditFormDocument.css;11-typography-and-brand.md
form.button.primary.pressed,assets/forms/button.primary.pressed.png,form-button,148,28,pressed,,green,primary action button example with raster label,AuditFormDocument.css;14-sensory-feedback.md
form.button.primary.blank.pressed,assets/forms/button.primary.blank.pressed.png,form-button-background,148,28,pressed,,green,primary button background for runtime HTML/CSS text,AuditFormDocument.css;11-typography-and-brand.md
form.button.primary.disabled,assets/forms/button.primary.disabled.png,form-button,148,28,disabled,,green,primary action button example with raster label,AuditFormDocument.css;14-sensory-feedback.md
form.button.primary.blank.disabled,assets/forms/button.primary.blank.disabled.png,form-button-background,148,28,disabled,,green,primary button background for runtime HTML/CSS text,AuditFormDocument.css;11-typography-and-brand.md
form.button.primary.sheet,assets/forms/button.primary.sheet.png,form-button-sheet,592,28,normal|hover|pressed|disabled,,green,primary example button state sheet,AuditFormDocument.css
form.button.primary.blank.sheet,assets/forms/button.primary.blank.sheet.png,form-button-background-sheet,592,28,normal|hover|pressed|disabled,,green,primary blank button sheet for dynamic runtime text,AuditFormDocument.css;11-typography-and-brand.md
form.button.secondary.normal,assets/forms/button.secondary.normal.png,form-button,148,28,normal,,neutral,secondary action button example with raster label,AuditFormDocument.css;14-sensory-feedback.md
form.button.secondary.blank.normal,assets/forms/button.secondary.blank.normal.png,form-button-background,148,28,normal,,neutral,secondary button background for runtime HTML/CSS text,AuditFormDocument.css;11-typography-and-brand.md
form.button.secondary.hover,assets/forms/button.secondary.hover.png,form-button,148,28,hover,,neutral,secondary action button example with raster label,AuditFormDocument.css;14-sensory-feedback.md
form.button.secondary.blank.hover,assets/forms/button.secondary.blank.hover.png,form-button-background,148,28,hover,,neutral,secondary button background for runtime HTML/CSS text,AuditFormDocument.css;11-typography-and-brand.md
form.button.secondary.pressed,assets/forms/button.secondary.pressed.png,form-button,148,28,pressed,,neutral,secondary action button example with raster label,AuditFormDocument.css;14-sensory-feedback.md
form.button.secondary.blank.pressed,assets/forms/button.secondary.blank.pressed.png,form-button-background,148,28,pressed,,neutral,secondary button background for runtime HTML/CSS text,AuditFormDocument.css;11-typography-and-brand.md
form.button.secondary.disabled,assets/forms/button.secondary.disabled.png,form-button,148,28,disabled,,neutral,secondary action button example with raster label,AuditFormDocument.css;14-sensory-feedback.md
form.button.secondary.blank.disabled,assets/forms/button.secondary.blank.disabled.png,form-button-background,148,28,disabled,,neutral,secondary button background for runtime HTML/CSS text,AuditFormDocument.css;11-typography-and-brand.md
form.button.secondary.sheet,assets/forms/button.secondary.sheet.png,form-button-sheet,592,28,normal|hover|pressed|disabled,,neutral,secondary example button state sheet,AuditFormDocument.css
form.button.secondary.blank.sheet,assets/forms/button.secondary.blank.sheet.png,form-button-background-sheet,592,28,normal|hover|pressed|disabled,,neutral,secondary blank button sheet for dynamic runtime text,AuditFormDocument.css;11-typography-and-brand.md
form.button.danger.normal,assets/forms/button.danger.normal.png,form-button,148,28,normal,,red,danger action button example with raster label,AuditFormDocument.css;14-sensory-feedback.md
form.button.danger.blank.normal,assets/forms/button.danger.blank.normal.png,form-button-background,148,28,normal,,red,danger button background for runtime HTML/CSS text,AuditFormDocument.css;11-typography-and-brand.md
form.button.danger.hover,assets/forms/button.danger.hover.png,form-button,148,28,hover,,red,danger action button example with raster label,AuditFormDocument.css;14-sensory-feedback.md
form.button.danger.blank.hover,assets/forms/button.danger.blank.hover.png,form-button-background,148,28,hover,,red,danger button background for runtime HTML/CSS text,AuditFormDocument.css;11-typography-and-brand.md
form.button.danger.pressed,assets/forms/button.danger.pressed.png,form-button,148,28,pressed,,red,danger action button example with raster label,AuditFormDocument.css;14-sensory-feedback.md
form.button.danger.blank.pressed,assets/forms/button.danger.blank.pressed.png,form-button-background,148,28,pressed,,red,danger button background for runtime HTML/CSS text,AuditFormDocument.css;11-typography-and-brand.md
form.button.danger.disabled,assets/forms/button.danger.disabled.png,form-button,148,28,disabled,,red,danger action button example with raster label,AuditFormDocument.css;14-sensory-feedback.md
form.button.danger.blank.disabled,assets/forms/button.danger.blank.disabled.png,form-button-background,148,28,disabled,,red,danger button background for runtime HTML/CSS text,AuditFormDocument.css;11-typography-and-brand.md
form.button.danger.sheet,assets/forms/button.danger.sheet.png,form-button-sheet,592,28,normal|hover|pressed|disabled,,red,danger example button state sheet,AuditFormDocument.css
form.button.danger.blank.sheet,assets/forms/button.danger.blank.sheet.png,form-button-background-sheet,592,28,normal|hover|pressed|disabled,,red,danger blank button sheet for dynamic runtime text,AuditFormDocument.css;11-typography-and-brand.md
form.button.information.normal,assets/forms/button.information.normal.png,form-button,148,28,normal,,blue,information action button example with raster label,AuditFormDocument.css;14-sensory-feedback.md
form.button.information.blank.normal,assets/forms/button.information.blank.normal.png,form-button-background,148,28,normal,,blue,information button background for runtime HTML/CSS text,AuditFormDocument.css;11-typography-and-brand.md
form.button.information.hover,assets/forms/button.information.hover.png,form-button,148,28,hover,,blue,information action button example with raster label,AuditFormDocument.css;14-sensory-feedback.md
form.button.information.blank.hover,assets/forms/button.information.blank.hover.png,form-button-background,148,28,hover,,blue,information button background for runtime HTML/CSS text,AuditFormDocument.css;11-typography-and-brand.md
form.button.information.pressed,assets/forms/button.information.pressed.png,form-button,148,28,pressed,,blue,information action button example with raster label,AuditFormDocument.css;14-sensory-feedback.md
form.button.information.blank.pressed,assets/forms/button.information.blank.pressed.png,form-button-background,148,28,pressed,,blue,information button background for runtime HTML/CSS text,AuditFormDocument.css;11-typography-and-brand.md
form.button.information.disabled,assets/forms/button.information.disabled.png,form-button,148,28,disabled,,blue,information action button example with raster label,AuditFormDocument.css;14-sensory-feedback.md
form.button.information.blank.disabled,assets/forms/button.information.blank.disabled.png,form-button-background,148,28,disabled,,blue,information button background for runtime HTML/CSS text,AuditFormDocument.css;11-typography-and-brand.md
form.button.information.sheet,assets/forms/button.information.sheet.png,form-button-sheet,592,28,normal|hover|pressed|disabled,,blue,information example button state sheet,AuditFormDocument.css
form.button.information.blank.sheet,assets/forms/button.information.blank.sheet.png,form-button-background-sheet,592,28,normal|hover|pressed|disabled,,blue,information blank button sheet for dynamic runtime text,AuditFormDocument.css;11-typography-and-brand.md
form.input.normal,assets/forms/input.normal.png,form-control,220,26,normal,,normal,Text/value input example with raster placeholder,06-screen-concepts.md
form.input.blank.normal,assets/forms/input.blank.normal.png,form-control-background,220,26,normal,,normal,Input background for runtime HTML/CSS value and placeholder,06-screen-concepts.md;11-typography-and-brand.md
form.input.focus,assets/forms/input.focus.png,form-control,220,26,focus,,amber,Text/value input example with raster placeholder,06-screen-concepts.md
form.input.blank.focus,assets/forms/input.blank.focus.png,form-control-background,220,26,focus,,amber,Input background for runtime HTML/CSS value and placeholder,06-screen-concepts.md;11-typography-and-brand.md
form.input.error,assets/forms/input.error.png,form-control,220,26,error,,error,Text/value input example with raster placeholder,06-screen-concepts.md
form.input.blank.error,assets/forms/input.blank.error.png,form-control-background,220,26,error,,error,Input background for runtime HTML/CSS value and placeholder,06-screen-concepts.md;11-typography-and-brand.md
form.input.disabled,assets/forms/input.disabled.png,form-control,220,26,disabled,,disabled,Text/value input example with raster placeholder,06-screen-concepts.md
form.input.blank.disabled,assets/forms/input.blank.disabled.png,form-control-background,220,26,disabled,,disabled,Input background for runtime HTML/CSS value and placeholder,06-screen-concepts.md;11-typography-and-brand.md
form.scale.normal,assets/forms/scale.normal.png,form-control,220,34,normal,,green,Audit scale field,AuditFormDocument.jsx
form.scale.focus,assets/forms/scale.focus.png,form-control,220,34,focus,,green,Audit scale field,AuditFormDocument.jsx
form.scale.disabled,assets/forms/scale.disabled.png,form-control,220,34,disabled,,green,Audit scale field,AuditFormDocument.jsx
form.progress.000,assets/forms/progress.000.png,form-progress,240,18,0,,green,Installation/procedure progress,15-unlocks-memos-and-system-mutations.md
form.progress.033,assets/forms/progress.033.png,form-progress,240,18,0.33,,green,Installation/procedure progress,15-unlocks-memos-and-system-mutations.md
form.progress.066,assets/forms/progress.066.png,form-progress,240,18,0.66,,green,Installation/procedure progress,15-unlocks-memos-and-system-mutations.md
form.progress.100,assets/forms/progress.100.png,form-progress,240,18,1,,green,Installation/procedure progress,15-unlocks-memos-and-system-mutations.md
form.progress.sheet,assets/forms/progress.sheet.png,form-progress-sheet,240,72,0|33|66|100,,green,Progress state sheet,15-unlocks-memos-and-system-mutations.md
